Nome,Curso,Turma,Nota
João Silva,Informática,24.05,"9,0"
Maria Souza,Informática,24.05,"8,5"
Pedro Santos,Informática,24.05,"10,0"
Ana Oliveira,Informática,24.05,"9,5"
Lucas Ferreira,Informática,24.05,"6,1"
Beatriz Almeida,Eletrotécnica,24.05,"7,0"
Gabriel Ribeiro,Edificações,24.05,"8,9"
Mariana Carvalho,Administração,24.05,"6,3"
Carlos Gomes,Mecânica,24.05,"6,1"
Fernanda Martins,Informática,24.05,"6,9"
Rafael Lima,Administração,24.05,"8,4"
Juliana Araújo,Administração,24.05,"6,8"
Matheus Barbosa,Administração,24.05,"7,7"
Camila Melo,Mecânica,24.05,"8,4"
Felipe Rocha,Informática,24.05,"9,0"
Larissa Dias,Edificações,24.05,"8,8"
Guilherme Moreira,Eletrotécnica,24.05,"7,1"
Amanda Nascimento,Edificações,24.05,"9,8"
Rodrigo Teixeira,Eletrotécnica,24.05,"6,4"
Letícia Correia,Mecânica,24.05,"6,4"
Gustavo Mendes,Eletrotécnica,24.05,"8,4"
Bruna Soares,Informática,24.05,"8,9"
Thiago Vieira,Administração,24.05,"6,5"
Sofia  Monteiro,Mecânica,24.05,"6,3"
Vinícius Cardoso,Eletrotécnica,24.05,"9,3"
