Nome;Email;Genero_Favorito;Filme_Recomendado;Data_Exibicao;Horario;Sala
Ana Silva;ana.silva@email.com;Ficção Científica;Duna: Parte 2;15/10/2026;19:30;01 (IMAX)
Bruno Souza;bruno.souza@email.com;Ação / Super-heróis;Deadpool & Wolverine;15/10/2026;21:00;03
Carla Mendes;carla.mendes@email.com;Animação / Família;Divertida Mente 2;16/10/2026;16:00;02
Daniel Oliveira;daniel.oliveira@email.com;Musical / Fantasia;Wicked;16/10/2026;18:30;04
Eduarda Lima;eduarda.lima@email.com;Drama / Musical;Coringa: Delírio a Dois;16/10/2026;20:45;01 (IMAX)
Felipe Costa;felipe.costa@email.com;Ação / Épico;Gladiador II;17/10/2026;21:15;05
Gabriela Rocha;gabriela.rocha@email.com;Terror / Suspense;A Substância;17/10/2026;22:00;03
Henrique Alves;henrique.alves@email.com;Ficção Científica / Terror;Alien: Romulus;18/10/2026;21:30;02
Isabela Santos;isabela.santos@email.com;Comédia / Fantasia;Beetlejuice Beetlejuice;18/10/2026;17:30;04
João Pedro;joao.pedro@email.com;Ação / Monstros;Godzilla e Kong: O Novo Império;19/10/2026;19:00;01 (IMAX)
Larissa Fernandes;larissa.f@email.com;Animação / Ação;Kung Fu Panda 4;19/10/2026;15:00;02
Lucas Martins;lucas.martins@email.com;Ficção Científica / Ação;Planeta dos Macacos: O Reinado;20/10/2026;20:00;03
Mariana Ribeiro;mariana.r@email.com;Ação / Pós-Apocalíptico;Furiosa: Uma Saga Mad Max;20/10/2026;21:45;05
Nicolas Carvalho;nicolas.c@email.com;Romance / Drama;É Assim Que Acaba;21/10/2026;18:00;04
Patricia Dias;patricia.dias@email.com;Terror;A Semente do Mal;21/10/2026;22:15;02
